Name;Topic path;Topic
Suaci - Error de foto opcional;Solicitudes - Suaci [SUACI] / 01. Espacio público / SUACI Componentes Comunes; SUACI Componentes Comunes
DDHH03CUX02 Quién puede anotarse;Derechos Humanos [DDHH] / 03. Niños: Derechos y Defensorías / 02. DDHH03CUX02 - Adopción GCBA; 02. DDHH03CUX02 - Adopción GCBA
SE02CUX03 Canales oficiales Infracciones;Seguridad [SE] / 02. Ciberseguridad / 03. SE02CUX03 - Estafas en Infracciones y VTV; 03. SE02CUX03 - Estafas en Infracciones y VTV
Pasaporte Covid > Terminar;Salud [SA] / 02. Test COVID / 03. SA02CUX03 - Certificado COVID-19; 03. SA02CUX03 - Certificado COVID-19
SUA01CUX21 Cambiar objeto;Solicitudes - Suaci [SUACI] / 01. Espacio público / 21. SUA01CUX21 Reubicación de contenedores; 21. SUA01CUX21 Reubicación de contenedores
DH03CUX02 Auditiva;Desarrollo humano [DH] / 03. Accesibilidad / 02. DH03CUX02 CUD; 02. DH03CUX02 CUD
DH01CAT01 Espera 1;Derivaciones [DER] / Derivación / Derivación a agente de Atención social; Derivación a agente de Atención social
DH08CUX02 Responde mal V1M2;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
BOT06CUX01 Trabalenguas 3;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
EDU04CUX06 Frase 3;Educación [EDU] / 04. Educación Escolar / 06. EDU04CUX06 - Bullying; 06. EDU04CUX06 - Bullying
BOT06CUX01 Respuesta correcta 3;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
DH06CUX01 Cómo anotarse;Desarrollo humano [DH] / 06. Barrios populares / 01. DH06CUX01 - Sello social; 01. DH06CUX01 - Sello social
CU10CUX01 Más del Casco;Cultura [CU] / 10. Casco Histórico / 01. CU10CUX01 - Casco Histórico; 01. CU10CUX01 - Casco Histórico
SUA01CUX18 Cambiar datos;Solicitudes - Suaci [SUACI] / 01. Espacio público / 18. SUA01CUX18 - Retiro de objetos en desuso; 18. SUA01CUX18 - Retiro de objetos en desuso
SA05CAT01 Despedida sin atención;Derivaciones [DER] / Derivación / Derivación a agente de Adultos Mayores; Derivación a agente de Adultos Mayores
DH05CAT01 >  1er. TO - Espera;Derivaciones [DER] / Derivación / Derivacion a agente de Adicciones; Derivacion a agente de Adicciones
Orquestador Agente Accesibilidad;Orquestador - PI;Orquestador - PI
CXF01CUX01 P2 Integraciones;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 01. CXF01CUX01 - Feedback Boti Integraciones; 01. CXF01CUX01 - Feedback Boti Integraciones
