Name;Topic path;Topic
DH11CUX08 Silencio user video 2;Desarrollo humano [DH] / 11. Inclusión financiera / 08. DH11CUX08 - Compras con impacto; 08. DH11CUX08 - Compras con impacto
TR03CUX22 Alimentos en el espacio público;Trámites [TR] / 03. Match directo / 22. TR03CUX22 - Ordenamiento del Espacio Público; 22. TR03CUX22 - Ordenamiento del Espacio Público
BX01CUX01 Mostrar transcripción ;BAX [BX] / 01. Onboarding BAX / BX01CUX01 Cómo usar BAX; BX01CUX01 Cómo usar BAX
BX01CUX01 Actividad;BAX [BX] / 01. Onboarding BAX / BX01CUX01 Cómo usar BAX; BX01CUX01 Cómo usar BAX
EDU05CUX06 Administración;Educación [EDU] / 05. Educación Superior / 06. EDU05CUX06 - Profesorados; 06. EDU05CUX06 - Profesorados
EDU05CUX04 Enfermería;Educación [EDU] / 05. Educación Superior / 04. EDU05CUX04 - Tecnicaturas de Salud; 04. EDU05CUX04 - Tecnicaturas de Salud
OB03CUX02 Qué hay para hacer;Obras [OBR] / 03. Espacios verdes / 02. OB03CUX02 BA Costa; 02. OB03CUX02 BA Costa
DH05CAT01 Por otra persona;Derivaciones [DER] / Derivación / Derivacion a agente de Adicciones; Derivacion a agente de Adicciones
SE01CUX03 Qué hace un agente;Seguridad [SE] / 01. Servicios (Policia, bomberos...) / 03. SE01CUX03 - Agentes de prevención; 03. SE01CUX03 - Agentes de prevención
TR04CUX32  Tiene errores > Cuánto cuesta;Trámites [TR] / 04. Estáticos Varios / 32. TR04CUX32 - Pasaporte; 32. TR04CUX32 - Pasaporte
"Flow fulfilled of ""Renovacion""";;
BOT06CUX01 Adivinanza 10;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
DH11CUX08 Video 3 Pregunta 2;Desarrollo humano [DH] / 11. Inclusión financiera / 08. DH11CUX08 - Compras con impacto; 08. DH11CUX08 - Compras con impacto
No lo recibí | Identificación Tardía;Trámites [TR] / 04. Estáticos Varios / 02. TR04CUX02 - DNI / Identificación Tardía; Identificación Tardía
SUA01CUX19 Pregunta manzana;Solicitudes - Suaci [SUACI] / 01. Espacio público / 19. SUA01CUX19  - Desagote pozo ciego; 19. SUA01CUX19  - Desagote pozo ciego
JU03CUX01 Cómo denuncio;Justicia [JU] / 03. Subsecretaría de Justicia / 01. JU03CUX01 - Patrocinio penal; 01. JU03CUX01 - Patrocinio penal
USIG - Preguntar calle y dirección (sin send location);Utilidades para intenciones / USIG - Preguntar calle y altura; USIG - Preguntar calle y altura
TUR01CUX02 Confirmación turno;Turnos [TUR] / 01. SIGECI / 02. TUR01CUX02 - Turno para Validación Presencial; 02. TUR01CUX02 - Turno para Validación Presencial
SA10CUX02 Apertura;Salud [SA] / 10. Centros de salud / 02. SA10CUX02 - CeSACs + Buscador + Chequeo de padrón; 02. SA10CUX02 - CeSACs + Buscador + Chequeo de padrón
Reconocer OK;Boti [BOT] / 01. Perfil / 01. BOT01CUX01 - Personalidad; 01. BOT01CUX01 - Personalidad
SUA01CUX Confirmación del mail;Solicitudes - Suaci [SUACI] / 01. Espacio público / SUACI Componentes Comunes; SUACI Componentes Comunes
SUA01CUX04 Confirmar patente ;Solicitudes - Suaci [SUACI] / 01. Espacio público / 04. SUA01CUX04 - Auto mal estacionado (NUEVO); 04. SUA01CUX04 - Auto mal estacionado (NUEVO)
