Name;Topic path;Topic
DH08CUX02 Responder pregunta V1M1;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
SA07CUX01 VIH;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
EDU04CUX03 Cómo lo pido;Educación [EDU] / 04. Educación Escolar / 03. EDU04CUX03 - Boleto estudiantil; 03. EDU04CUX03 - Boleto estudiantil
SA10CUX02 Error desde la API;Salud [SA] / 10. Centros de salud / 02. SA10CUX02 - CeSACs + Buscador + Chequeo de padrón; 02. SA10CUX02 - CeSACs + Buscador + Chequeo de padrón
INN08CUX01 Servicios en barrios DEMO;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Demo subtopicos; 01. INN08CUX01 - Demo subtopicos
SUA01CUX Subir foto 3;Solicitudes - Suaci [SUACI] / 01. Espacio público / SUACI Componentes Comunes; SUACI Componentes Comunes
 DH08CUX02 Pedido de datos ;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
SUA01CUX31 Confirmación de dirección;Solicitudes - Suaci [SUACI] / 01. Espacio público / 31. SUA01CUX31 Obra sin permiso o cartel reglamentario; 31. SUA01CUX31 Obra sin permiso o cartel reglamentario
BX01CUX01 Hablar;BAX [BX] / 01. Onboarding BAX / BX01CUX01 Cómo usar BAX; BX01CUX01 Cómo usar BAX
SUA01CUX04 Denuncia Vial - Error Análisis Imagen Patente;Solicitudes - Suaci [SUACI] / 01. Espacio público / 04. SUA01CUX04 - Auto mal estacionado (NUEVO); 04. SUA01CUX04 - Auto mal estacionado (NUEVO)
TR01CUX10 Apertura > Cómo hago el trámite;Trámites [TR] / 01. TAD / 10. TR01CUX10 - Copia de Plano; 10. TR01CUX10 - Copia de Plano
SUA01CUX No encontró ubicación;Solicitudes - Suaci [SUACI] / 01. Espacio público / SUACI Componentes Comunes; SUACI Componentes Comunes
MO09CUX04 Apertura;Movilidad [MO] / 09. Obras / 04. MO09CUX04 - Autopista Dellepiane; 04. MO09CUX04 - Autopista Dellepiane
DH01CAT01 Usuario no responde pregunta;Derivaciones [DER] / Derivación / Derivación a agente de Atención social; Derivación a agente de Atención social
Apertura | Disolución de Unión Civil;Trámites [TR] / 04. Estáticos Varios / 26. TR04CUX26 - Disolución de Unión Civil | Convivencial; 26. TR04CUX26 - Disolución de Unión Civil | Convivencial
TR03CUX17 Afectación del tránsito;Trámites [TR] / 03. Match directo / 17. TR03CUX17 - Desarrollo urbano y transporte - Transporte; 17. TR03CUX17 - Desarrollo urbano y transporte - Transporte
TR04CUX32  Sedes pasaporte > Ver sedes > Más sedes;Trámites [TR] / 04. Estáticos Varios / 32. TR04CUX32 - Pasaporte; 32. TR04CUX32 - Pasaporte
DH08CUX02 Responde bien V2M1;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
AGC01CUX01  Apertura;AGC [AGC] / 01. Habilitaciones e Inspecciones / 01. AGC01CUX01 - Habilitaciones; 01. AGC01CUX01 - Habilitaciones
SA07CUX01 Vacunación;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
MO05CUX08 Auto, camioneta o utilitario - Particular;Movilidad [MO] / 05. Licencias / 08. MO05CUX08 - Ampliación de licencias; 08. MO05CUX08 - Ampliación de licencias
AG01CUX01 Grandes contribuyentes: imputación/compensación de pagos;AGIP [AG] / 01. Sobre AGIP / 01. AG01CUX01 - AGIP; 01. AG01CUX01 - AGIP
INN10CUX09 Enrutamiento a agente Accesibilidad;Innovación [INN] / 10. Boti LLM / 09. INN10CUX09 - Experiencia accesibilidad PI; 09. INN10CUX09 - Experiencia accesibilidad PI
MO05CUX10 Error en creación de trámite;Movilidad [MO] / 05. Licencias / 10. MO05CUX10 Duplicado de licencia; 10. MO05CUX10 Duplicado de licencia
