Name;Topic path;Topic
CXF01CUX02 Muy fácil Estáticos;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 02. CXF01CUX02 - Feedback Boti Estáticos; 02. CXF01CUX02 - Feedback Boti Estáticos
INN08CUX01 Alertas;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Demo subtopicos; 01. INN08CUX01 - Demo subtopicos
AC02CUX01 Contacto ;Atención Ciudadana [AC] / 02. Servicios Ciudadanía / 01. AC02CUX01 - Defensa al Consumidor; 01. AC02CUX01 - Defensa al Consumidor
TR04CUX23 Cómo pagarla;Trámites [TR] / 04. Estáticos Varios / 23. TR04CUX23 - Boleta BUI; 23. TR04CUX23 - Boleta BUI
MO08CAT01 Espera 2;Derivaciones [DER] / Derivación / Derivación a agente de AUSA; Derivación a agente de AUSA
TU01CUX01 Lugares gratuitos;Turismo [TU] / 01. Turismo BA / 01. TU01CUX01 - Turismo en BA; 01. TU01CUX01 - Turismo en BA
AC04CAT01 Pedido de datos mail;Derivaciones [DER] / Derivación / Derivación a agente de 147; Derivación a agente de 147
TR05CUX04 No figura en el registro;Trámites [TR] / 05. Estado de trámites / 4. TR05CUX04 Consulta de deudores morosos; 4. TR05CUX04 Consulta de deudores morosos
SA02CUX03 Ver vacunas y testeo;Salud [SA] / 02. Test COVID / 03. SA02CUX03 - Certificado COVID-19; 03. SA02CUX03 - Certificado COVID-19
TR02CUX06 Cómo me inscribo;Trámites [TR] / 02. Integraciones STD / 06. TR02CUX06 - Presentación de Certificados Escolares para Estudiar es Trabajar - ; 06. TR02CUX06 - Presentación de Certificados Escolares para Estudiar es Trabajar - 
INN08CUX01 Apertura de contingencia;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Botificador; 01. INN08CUX01 - Botificador
TUR01CUX11 Método de pago electrónico ;Turnos [TUR] / 01. SIGECI / 11. TUR01CUX11 - Turno para práctica de auto en pista; 11. TUR01CUX11 - Turno para práctica de auto en pista
EDU11CUX01 Compromiso familiar;Educación [EDU] / 11 - Celular en escuelas; 11 - Celular en escuelas
TR03CUX31 Asesoría legal;Trámites [TR] / 03. Match directo / 31. TR03CUX31 - Subsecretaría de Trabajo, Industria y Comercio; 31. TR03CUX31 - Subsecretaría de Trabajo, Industria y Comercio
IN01CAT01 Derivar a cola controlador de infracciones;Derivaciones [DER] / Derivación / Derivación a agente de Infracciones / Derivación Infracciones Controlador; Derivación Infracciones Controlador
AM04CUX03 Apertura;Ambiente [AM] / 04. Reservas y espacios / 03. AM04CUX03 - Lago Lugano; 03. AM04CUX03 - Lago Lugano
AGC01CUX02 SIFER;AGC [AGC] / 01. Habilitaciones e Inspecciones / 02. AGC01CUX02 - Inspecciones; 02. AGC01CUX02 - Inspecciones
ED03CUX05 Licenciaturas;Educación [EDU] / 03. Docentes / 05. EDU03CUX05 - Universidad de la Ciudad; 05. EDU03CUX05 - Universidad de la Ciudad
TR03CUX08 Registro/Renovación de Unidades de Transportes Alimenticios (UTA);Trámites [TR] / 03. Match directo / 08. TR03CUX08 - AGC; 08. TR03CUX08 - AGC
TR05CUX03 ID de respuesta 1;Trámites [TR] / 05. Estado de trámites / 3. TR05CUX03 Consulta de destado de Ciudadanía Porteña; 3. TR05CUX03 Consulta de destado de Ciudadanía Porteña
DH08CUX02 Repaso V1M3;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
SE06CUX01  Por dirección;Seguridad [SE] / 06. Senderos escolares / 01. SE06CUX01 - Senderos escolares; 01. SE06CUX01 - Senderos escolares
SUA01CUX30 Estado del trámite;Solicitudes - Suaci [SUACI] / 01. Espacio público / 30. SUA01CUX30 Consultas e inconvenientes con TAD; 30. SUA01CUX30 Consultas e inconvenientes con TAD
SUA01CUX31 PH;Solicitudes - Suaci [SUACI] / 01. Espacio público / 31. SUA01CUX31 Obra sin permiso o cartel reglamentario; 31. SUA01CUX31 Obra sin permiso o cartel reglamentario
BOT06CUX01 Boti trabaja;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
BOT02CUX06 Sí, dale - Imagen 1 de 2 ;Boti [BOT] / 02. Cumpleaños / 06. BOT02CUX06 - Piedra Libre; 06. BOT02CUX06 - Piedra Libre
GE02CUX02 Realidad histórica;Género [GE] / 02. 8M / 02. GE02CUX02 - Historia del 8M; 02. GE02CUX02 - Historia del 8M
SUA01CUX31 Local en galería ;Solicitudes - Suaci [SUACI] / 01. Espacio público / 31. SUA01CUX31 Obra sin permiso o cartel reglamentario; 31. SUA01CUX31 Obra sin permiso o cartel reglamentario
SUA01CUX20 Apertura;Solicitudes - Suaci [SUACI] / 01. Espacio público / 20. SUA01CUX20 Electricidad y agua; 20. SUA01CUX20 Electricidad y agua
BOT02CUX07 Bosque (pista 1);Boti [BOT] / 02. Cumpleaños / 07. BOT02CUX07 - Atrapalabras / Segundo juego; Segundo juego
DH03CUX01 Patente;Desarrollo humano [DH] / 03. Accesibilidad / 01. DH03CUX01 - Accesibilidad; 01. DH03CUX01 - Accesibilidad
BOT06CUX01 Boti tecno;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
DE05CUX04 Contacto;Deportes [DE] / 5. Clases al aire libre / 04. DE05CUX04 - Autódromo; 04. DE05CUX04 - Autódromo
TR02CUX06 Agregar otro certificado;Trámites [TR] / 02. Integraciones STD / 06. TR02CUX06 - Presentación de Certificados Escolares para Estudiar es Trabajar - ; 06. TR02CUX06 - Presentación de Certificados Escolares para Estudiar es Trabajar - 
MO05CUX08 Maquinaria especial - Nuevas categorías;Movilidad [MO] / 05. Licencias / 08. MO05CUX08 - Ampliación de licencias; 08. MO05CUX08 - Ampliación de licencias
BOT02CUX08 Salir (Turisteando);Boti [BOT] / 02. Cumpleaños / 08. BOT02CUX08 - Turisteando; 08. BOT02CUX08 - Turisteando
EP04CUX01 Apertura registro contingencia;Espacio Público [EP] / 04. Ecopuntos / 04. EP04CUX01 - Ecopuntos; 04. EP04CUX01 - Ecopuntos
