Name;Topic path;Topic
TUR01CUX06 Apertura;Turnos [TUR] / 01. SIGECI / 06. TUR01CUX06 - Turnera vacunación COVID; 06. TUR01CUX06 - Turnera vacunación COVID
EDU05CUX01 Apertura;Educación [EDU] / 05. Educación Superior / 01. EDU05CUX01 - Beneficios para universitarios; 01. EDU05CUX01 - Beneficios para universitarios
SA08CUX02 Apertura;Salud [SA] / 08. Donación / 02. SA08CUX02 - Donación de órganos ❤️ ; 02. SA08CUX02 - Donación de órganos ❤️ 
SUA01CUX02 Cargar foto 3;Solicitudes - Suaci [SUACI] / 01. Espacio público / 02. SUA01CUX02 - Residuos Voluminosos; 02. SUA01CUX02 - Residuos Voluminosos
TR04CUX02 Qué necesito - Actualización mayor;Trámites [TR] / 04. Estáticos Varios / 02. TR04CUX02 - DNI; 02. TR04CUX02 - DNI
CIU02CUX01 Cuáles son;Ciudad [CIU] / 02. Comunas de la ciudad / 01. CIU02CUX01 - Comunas de la Ciudad; 01. CIU02CUX01 - Comunas de la Ciudad
TU04CUX01 Regex de salida;Turismo [TU] / 04. Guía turístico ft. GPT / 01. TU04CUX01 - Guía turístico; 01. TU04CUX01 - Guía turístico
MO05CUX10 Confirmar trámite por pago online;Movilidad [MO] / 05. Licencias / 10. MO05CUX10 Duplicado de licencia; 10. MO05CUX10 Duplicado de licencia
CU06CAT01 Datos de contacto - Teléfono;Derivaciones [DER] / Derivación / Deriva a agente de Diversidad; Deriva a agente de Diversidad
IN01CAT01 Mensaje fuera de horario tras derivación;Derivaciones [DER] / Derivación / Derivación a agente de Infracciones / Derivar a agente o fuera de horario Infracciones; Derivar a agente o fuera de horario Infracciones
TUR01CUX06 Confirmación documento;Turnos [TUR] / 01. SIGECI / 06. TUR01CUX06 - Turnera vacunación COVID; 06. TUR01CUX06 - Turnera vacunación COVID
EDU03CUX10 Premios;Educación [EDU] / 03. Docentes / 10. EDU03CUX10 - Premio Docente; 10. EDU03CUX10 - Premio Docente
SUA01CUX Refuerzo de solicitud exitosa;Solicitudes - Suaci [SUACI] / 01. Espacio público / SUACI Componentes Comunes; SUACI Componentes Comunes
MO10CUX01 Recorridos;Movilidad [MO] / 10. Metrobus / 01. MO10CUX01 - Superapertura Metrobus; 01. MO10CUX01 - Superapertura Metrobus
Deficiencias en la gestión;Trámites [TR] / 04. Estáticos Varios / 20. TR04CUX20 - Dirección General de Mesa de Entradas, Salidas y Archivo; 20. TR04CUX20 - Dirección General de Mesa de Entradas, Salidas y Archivo
INN01CUX01 Apertura de contingencia;Innovación [INN] / 01. Gaming / 01. INN01CUX01 - Superapertura BA Gaming; 01. INN01CUX01 - Superapertura BA Gaming
OB05CUX02 Permiso Micro Obra;Obras [OBR] / 05. DGROC / 02. OB05CUX02 -Super Apertura Obras - DGROC  ; 02. OB05CUX02 -Super Apertura Obras - DGROC  
TR01CUX11 Cómo hago el trámite;Trámites [TR] / 01. TAD / 11. TR01CUX11 - Registro Administradores de Consorcios - Presentación Anual DDJJ; 11. TR01CUX11 - Registro Administradores de Consorcios - Presentación Anual DDJJ
GE01CAT01 Vuelta de derivación > No sé como borrar;Derivaciones [DER] / Derivación / Violencia contra la mujer; Violencia contra la mujer
MO01CAT01 Espera 2;Derivaciones [DER] / Derivación / Derivación a agente de BA Taxi; Derivación a agente de BA Taxi
VC01CAT01 Buscando operador;Derivaciones [DER] / Derivación / Derivación a agente de Sedes comunales; Derivación a agente de Sedes comunales
BOT02CUX07 Museo Correcto;Boti [BOT] / 02. Cumpleaños / 07. BOT02CUX07 - Atrapalabras; 07. BOT02CUX07 - Atrapalabras
TR01CUX04 Requisitos;Trámites [TR] / 01. TAD / 04. TR01CUX04 - Solicitud del contribuyente a la Administración Gubernamental de Ingresos Públicos; 04. TR01CUX04 - Solicitud del contribuyente a la Administración Gubernamental de Ingresos Públicos
TR03CUX31 Centralizar firma;Trámites [TR] / 03. Match directo / 31. TR03CUX31 - Subsecretaría de Trabajo, Industria y Comercio; 31. TR03CUX31 - Subsecretaría de Trabajo, Industria y Comercio
BOT02CUX07 Teatro (pista 2);Boti [BOT] / 02. Cumpleaños / 07. BOT02CUX07 - Atrapalabras; 07. BOT02CUX07 - Atrapalabras
CIU05CUX08 Sitios Históricos La Boca;Ciudad [CIU] / 05. Sobre la Ciudad / 08- CIU05CUX08 - Sitios históricos / CIU05CUX08 - La Boca; CIU05CUX08 - La Boca
 DH01CAT03 Pregunta lugar;Derivaciones [DER] / Derivación / Derivación a agente de IVC; Derivación a agente de IVC
SUA01CUX21 Revisar foto 3;Solicitudes - Suaci [SUACI] / 01. Espacio público / 21. SUA01CUX21 Reubicación de contenedores; 21. SUA01CUX21 Reubicación de contenedores
IN01CAT01 Pedido de datos DNI;Derivaciones [DER] / Derivación / Derivación a agente de Infracciones; Derivación a agente de Infracciones
TR04CUX23 Cómo generarla;Trámites [TR] / 04. Estáticos Varios / 23. TR04CUX23 - Boleta BUI; 23. TR04CUX23 - Boleta BUI
INN08CUX01 Elegir tema DEMO;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Demo subtopicos; 01. INN08CUX01 - Demo subtopicos
Infracciones_MostrarMasDatosDeInfraccion;N/A;A
SA01CAT01 Fuera del horario de atención ;Derivaciones [DER] / Derivación / Derivación a agente de SIGEHOS; Derivación a agente de SIGEHOS
TUR01CUX11 Datos del conductor – Nombre y apellido ;Turnos [TUR] / 01. SIGECI / 11. TUR01CUX11 - Turno para práctica de auto en pista; 11. TUR01CUX11 - Turno para práctica de auto en pista
SUA01CUX07 Error - Reparación de luminaria;Solicitudes - Suaci [SUACI] / 01. Espacio público / 07. SUA01CUX07 - Reparación de luminaria / Errores | Reparación de luminaria; Errores | Reparación de luminaria
SUA01CUX Subir foto 1 obligatoria;Solicitudes - Suaci [SUACI] / 01. Espacio público / SUACI Componentes Comunes; SUACI Componentes Comunes
SUA01CUX05 Autos Abandonados - No tiene patente;Solicitudes - Suaci [SUACI] / 01. Espacio público / 05. SUA01CUX05 - Autos abandonados; 05. SUA01CUX05 - Autos abandonados
MO05CUX13 Pedido de datos - teléfono;Movilidad [MO] / 13. Reevaluación teórico-práctico de licencia; 13. Reevaluación teórico-práctico de licencia
TR05CUX03 ID de respuesta 3;Trámites [TR] / 05. Estado de trámites / 3. TR05CUX03 Consulta de destado de Ciudadanía Porteña; 3. TR05CUX03 Consulta de destado de Ciudadanía Porteña
CU04CUX19 Apertura de contingencia;"Cultura [CU] / 04. Festivales y ""Día de -Noche de"" / 19. CU04CUX19 - Buenos Aires Jazz"; 19. CU04CUX19 - Buenos Aires Jazz
Listado de infracciones > Audiencia Online;Derivaciones [DER] / Derivación / Derivación a agente de Infracciones; Derivación a agente de Infracciones
CU10CUX02 Inodoro Pereyra y Mendieta;Cultura [CU] / 10. Casco Histórico / 02. CU10CUX02 - Paseo de la historieta; 02. CU10CUX02 - Paseo de la historieta
SUA01CUX17 Nueva solicitud exitosa;Solicitudes - Suaci [SUACI] / 01. Espacio público / 17. SUA01CUX17 - Pintura sobre Graffiti; 17. SUA01CUX17 - Pintura sobre Graffiti
NI01CUX11 Objeto 2 Dinosaurios;Niñez [NI] / 01. Boticuentos / 11. NI01CUX11 - Estornudos bajo tierra; 11. NI01CUX11 - Estornudos bajo tierra
SUA01CUX11 Dirección ya denunciada - Extraccion de arbol;Solicitudes - Suaci [SUACI] / 01. Espacio público / 11. SUA01CUX11 - Extracción de árbol; 11. SUA01CUX11 - Extracción de árbol
CU10CUX02 Las Chicas de Divito > Mapa del recorrido;Cultura [CU] / 10. Casco Histórico / 02. CU10CUX02 - Paseo de la historieta; 02. CU10CUX02 - Paseo de la historieta
DH11CUX07 Video 2;Desarrollo humano [DH] / 11. Inclusión financiera / 07. DH11CUX07 - Geolocalizacion virtual; 07. DH11CUX07 - Geolocalizacion virtual
AGC02CUX02 Cartel de obra;AGC [AGC] / 02. Otros trámites / 02. AGC02CUX02 - Director de Obra; 02. AGC02CUX02 - Director de Obra
GA02CUX01 Apertura corta;Gastronomía [GA] / 02. Ferias de la ciudad / GA02CUX01 - Ferias de la Ciudad; GA02CUX01 - Ferias de la Ciudad
VI01CUX03 Error Fotos Subidas;Trámites [TR] / 02. Integraciones STD / 03. TR02CUX03 VI01CUX03 - Copia de escritura; 03. TR02CUX03 VI01CUX03 - Copia de escritura
SE06CUX01  Por ubicación;Seguridad [SE] / 06. Senderos escolares / 01. SE06CUX01 - Senderos escolares; 01. SE06CUX01 - Senderos escolares
CU08CUX06 Feria francesa;Cultura [CU] / 08. Vacaciones en BA / 06. CU08CUX06 - Verano en la Ciudad 2026; 06. CU08CUX06 - Verano en la Ciudad 2026
AG01CUX01 Control fiscal: plan de facilidades;AGIP [AG] / 01. Sobre AGIP / 01. AG01CUX01 - AGIP; 01. AG01CUX01 - AGIP
CU04CUX41 La Giralda;"Cultura [CU] / 04. Festivales y ""Día de -Noche de"" / 41. CU04CUX41 - Bares Notables"; 41. CU04CUX41 - Bares Notables
IN01CAT01 miBA Login para Infracciones;Derivaciones [DER] / Derivación / Derivación a agente de Infracciones; Derivación a agente de Infracciones
TUR01CUX05 Validar datos;Turnos [TUR] / 01. SIGECI / 05. TUR01CUX05 - Turno para renovación de licencia de conducir; 05. TUR01CUX05 - Turno para renovación de licencia de conducir
AG01CUX02 Apertura;AGIP [AG] / 01. Sobre AGIP / 02. AG01CUX02 - Ingresos Brutos; 02. AG01CUX02 - Ingresos Brutos
TUR01CUX14 Tiene menos de 65;Turnos [TUR] / 01. SIGECI / 14. TUR01CUX14 - Turnera vacunación antigripal; 14. TUR01CUX14 - Turnera vacunación antigripal
AG01CUX01 Cambiar titularidad Patentes;AGIP [AG] / 01. Sobre AGIP / 01. AG01CUX01 - AGIP; 01. AG01CUX01 - AGIP
DH01CUX03 Pedido de datos - DNI del dueño;Desarrollo humano [DH] / 01. Atención social / 02. TR02CUX02 - Rendición de Subsidio Habitacional 690; 02. TR02CUX02 - Rendición de Subsidio Habitacional 690
AG01CUX01 Derivación AGIP;Derivaciones [DER] / Derivación / Derivación a agente de AGIP; Derivación a agente de AGIP
INN08CUX01 Anzuelo Salud General V2;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Botificador; 01. INN08CUX01 - Botificador
SA02CUX03 Solo vacuna;Salud [SA] / 02. Test COVID / 03. SA02CUX03 - Certificado COVID-19; 03. SA02CUX03 - Certificado COVID-19
ED02CUX08 Puntos digitales;Educación [EDU] / 02. Cursos y talleres / 08. EDU02CUX08 - Ciudad Bilingue; 08. EDU02CUX08 - Ciudad Bilingue
DDHH03CUX01 Superapertura;Derechos Humanos [DDHH] / 03. Niños: Derechos y Defensorías; 03. Niños: Derechos y Defensorías
EDU07CUX01  Apertura ;Educación [EDU] / 07. Biblioteca Digital, materias y links / 01. EDU07CUX01 - Biblioteca digital; 01. EDU07CUX01 - Biblioteca digital
EDU02CUX09 Quiero anotarme Secundaria;Educación [EDU] / 02. Cursos y talleres / 09. EDU02CUX09 - Talento Tech; 09. EDU02CUX09 - Talento Tech
DDHH03CUX08 Intro derivación;Derivaciones [DER] / Derivación / Línea 102; Línea 102
TUR01CUX05 Validar datos - Elegir turno;Turnos [TUR] / 01. SIGECI / 05. TUR01CUX05 - Turno para renovación de licencia de conducir; 05. TUR01CUX05 - Turno para renovación de licencia de conducir
